DMS_id,Kermut,Kermut (const. mean),Kermut (no m),"Kermut (no m, const. mean)",Kermut (no distance),Kermut (no p),Kermut (no global),Kermut (no Hellinger),Kermut (no Hellinger/p),Kermut (ProteinMPNN),Kermut (TranceptEVE),Kermut (ESM-IF1),Kermut (EVE),Kermut (GEMME),Kermut (VESPA),ESM-1v Embeddings,MSA Transformer Embeddings,DeepSequence + One-Hot Encodings,ESM-1v + One-Hot Encodings,MSA_Transformer + One-Hot Encodings,Tranception + One-Hot Encodings,TranceptEVE + One-Hot Encodings,One-Hot Encodings,ProteinNPT,Tranception Embeddings
CCDB_ECOLI_Tripathi_2016,0.479,0.506,0.449,0.434,0.461,0.481,0.507,0.477,0.484,0.509,0.552,0.461,0.553,0.502,0.562,0.283,0.36,0.486,0.324,0.331,0.516,0.528,0.535,0.812,0.423
CD19_HUMAN_Klesmith_2019_FMC_singles,0.469,0.472,0.399,0.399,0.38,0.434,0.416,0.476,0.442,0.472,0.477,0.473,0.481,0.489,0.472,0.269,0.349,0.216,0.053,0.286,0.202,0.232,0.004,0.479,0.375
CSN4_MOUSE_Tsuboyama_2023_1UFM,0.826,0.831,0.723,0.724,0.826,0.756,0.702,0.8,0.717,0.83,0.828,0.841,0.829,0.829,0.824,0.698,0.711,0.367,0.559,0.387,0.493,0.454,0.042,0.751,0.611
CUE1_YEAST_Tsuboyama_2023_2MYX,0.755,0.72,0.649,0.586,0.716,0.722,0.699,0.776,0.739,0.725,0.771,0.803,0.783,0.753,0.732,0.582,0.733,0.503,0.376,0.464,0.408,0.491,0.23,0.734,0.53
D7PM05_CLYGR_Somermeyer_2022,0.684,0.684,0.278,0.276,0.614,0.592,0.703,0.571,0.371,0.686,0.715,0.69,0.746,0.75,0.706,0.166,0.702,0.515,0.026,0.601,0.415,0.531,0.34,0.709,0.462
DLG4_HUMAN_Faure_2021,0.623,0.595,0.554,0.413,0.626,0.58,0.627,0.647,0.567,0.594,0.612,0.595,0.636,0.632,0.63,0.541,0.502,0.401,0.388,0.48,0.607,0.582,0.022,0.52,0.529
DLG4_RAT_McLaughlin_2012,0.559,0.514,0.478,0.339,0.478,0.521,0.579,0.569,0.527,0.514,0.53,0.517,0.547,0.536,0.58,0.556,0.517,0.49,0.547,0.493,0.431,0.54,0.042,0.531,0.399
DN7A_SACS2_Tsuboyama_2023_1JIC,0.783,0.813,0.648,0.656,0.78,0.705,0.636,0.774,0.648,0.816,0.812,0.84,0.814,0.81,0.826,0.477,0.703,0.209,0.136,0.297,0.189,0.204,0.228,0.726,0.569
DNJA1_HUMAN_Tsuboyama_2023_2LO1,0.835,0.834,0.811,0.8,0.805,0.831,0.803,0.832,0.829,0.838,0.795,0.836,0.779,0.822,0.827,0.753,0.668,0.423,0.389,0.289,0.557,0.46,0.372,0.727,0.689
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,0.764,0.756,0.675,0.599,0.748,0.706,0.662,0.774,0.697,0.762,0.757,0.768,0.758,0.764,0.763,0.673,0.732,0.397,0.56,0.562,0.524,0.477,0.099,0.739,0.581
DYR_ECOLI_Nguyen_2023,0.526,0.476,0.499,0.458,0.493,0.508,0.573,0.541,0.529,0.478,0.481,0.512,0.485,0.487,0.506,0.512,0.559,0.472,0.536,0.483,0.375,0.44,0.203,0.602,0.434
DYR_ECOLI_Thompson_2019,0.492,0.463,0.435,0.356,0.446,0.506,0.508,0.493,0.507,0.466,0.501,0.467,0.49,0.47,0.479,0.432,0.541,0.47,0.402,0.497,0.417,0.482,0.16,0.556,0.417
ENV_HV1B9_DuenasDecamp_2016,0.068,0.091,0.074,0.134,-0.005,0.02,0.042,0.044,0.019,0.097,0.196,0.094,0.468,0.374,0.308,0.462,0.384,0.354,0.428,0.383,0.384,0.376,0.33,0.371,0.417
ENVZ_ECOLI_Ghose_2023,0.224,0.223,0.212,0.208,0.214,0.23,0.128,0.211,0.215,0.222,0.205,0.23,0.194,0.204,0.22,0.151,0.184,0.146,0.189,0.17,0.193,0.164,0.019,0.222,0.147
EPHB2_HUMAN_Tsuboyama_2023_1F0M,0.84,0.843,0.799,0.765,0.835,0.812,0.801,0.839,0.811,0.843,0.842,0.843,0.846,0.839,0.827,0.737,0.78,0.554,0.626,0.578,0.578,0.596,0.238,0.824,0.633
ERBB2_HUMAN_Elazar_2016,0.587,0.58,0.384,0.427,0.402,0.544,0.614,0.582,0.546,0.58,0.586,0.58,0.575,0.576,0.632,0.586,0.574,0.2,0.46,0.381,0.462,0.407,-0.008,0.536,0.608
ESTA_BACSU_Nutschel_2020,0.598,0.599,0.365,0.348,0.564,0.558,0.591,0.525,0.439,0.6,0.607,0.607,0.604,0.606,0.607,0.341,0.507,0.414,0.294,0.421,0.312,0.394,-0.103,0.499,0.248
F7YBW7_MESOW_Ding_2023,0.258,0.276,0.113,0.183,0.197,0.218,0.286,0.259,0.219,0.262,0.268,0.289,0.042,0.291,0.219,0.218,0.471,0.215,0.259,0.43,0.531,0.43,-0.389,0.337,0.366
F7YBW8_MESOW_Aakre_2015,0.313,-0.443,0.103,-0.417,0.374,0.161,0.317,0.313,0.161,-0.122,0.36,-0.179,-0.144,-0.1,0.231,0.665,0.491,0.238,0.652,0.444,0.636,0.492,-0.418,0.342,0.495
FECA_ECOLI_Tsuboyama_2023_2D1U,0.824,0.808,0.77,0.717,0.817,0.805,0.714,0.81,0.78,0.81,0.802,0.827,0.796,0.824,0.81,0.497,0.718,0.419,0.25,0.442,0.27,0.328,0.152,0.71,0.534
FKBP3_HUMAN_Tsuboyama_2023_2KFV,0.686,0.689,0.316,0.322,0.647,0.57,0.703,0.671,0.436,0.697,0.701,0.739,0.715,0.709,0.677,0.361,0.626,0.489,0.152,0.279,0.349,0.419,0.049,0.683,0.511
GAL4_YEAST_Kitzman_2015,0.642,0.508,0.648,0.512,0.624,0.633,0.673,0.644,0.647,0.508,0.524,0.51,0.591,0.638,0.645,0.382,0.617,0.567,0.409,0.575,0.517,0.457,0.17,0.553,0.403
GCN4_YEAST_Staller_2018,0.599,0.056,0.609,0.22,0.509,0.612,0.613,0.599,0.607,0.143,0.401,0.122,0.505,0.428,0.409,0.008,0.513,0.644,0.464,0.646,0.647,0.705,0.328,0.397,0.368
GDIA_HUMAN_Silverstein_2021,0.472,0.443,0.462,0.376,0.479,0.456,0.439,0.478,0.442,0.443,0.461,0.446,0.482,0.467,0.489,0.461,0.524,0.443,0.424,0.457,0.439,0.461,-0.023,0.479,0.438
GFP_AEQVI_Sarkisyan_2016,0.427,0.431,0.206,0.205,0.374,0.348,0.47,0.41,0.217,0.436,0.5,0.462,0.501,0.504,0.442,0.152,0.483,0.495,0.059,0.449,0.402,0.528,0.12,0.506,0.357
GLPA_HUMAN_Elazar_2016,0.391,0.307,0.403,0.354,0.392,0.421,0.332,0.388,0.411,0.307,0.337,0.31,0.32,0.397,0.33,0.529,0.415,0.238,0.4,0.333,0.415,0.398,0.202,0.436,0.541
GRB2_HUMAN_Faure_2021,0.791,0.726,0.769,0.652,0.782,0.772,0.789,0.811,0.773,0.731,0.727,0.753,0.748,0.735,0.723,0.639,0.556,0.545,0.544,0.568,0.438,0.541,0.102,0.587,0.408
HCP_LAMBD_Tsuboyama_2023_2L6Q,0.815,0.804,0.749,0.718,0.806,0.772,0.766,0.815,0.764,0.805,0.799,0.829,0.805,0.8,0.812,0.744,0.716,0.171,0.476,0.385,0.532,0.508,0.183,0.715,0.648
HECD1_HUMAN_Tsuboyama_2023_3DKM,0.816,0.793,0.74,0.67,0.749,0.782,0.775,0.827,0.785,0.788,0.834,0.82,0.845,0.822,0.824,0.571,0.823,0.602,0.28,0.67,0.547,0.602,0.185,0.808,0.701
HEM3_HUMAN_Loggerenberg_2023,0.494,0.442,0.442,0.376,0.424,0.485,0.484,0.494,0.484,0.442,0.477,0.451,0.491,0.499,0.504,0.409,0.448,0.402,0.371,0.431,0.438,0.437,0.011,0.477,0.458
HIS7_YEAST_Pokusaeva_2019,0.07,0.092,0.076,-0.133,0.017,0.038,0.165,0.081,0.031,0.093,0.092,0.217,0.02,0.045,0.128,-0.004,-0.079,0.129,0.119,0.097,0.137,0.128,0.264,-0.06,0.04
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,0.399,0.385,0.35,0.253,0.282,0.395,0.383,0.406,0.4,0.384,0.398,0.385,0.416,0.406,0.431,0.427,0.479,0.38,0.414,0.444,0.368,0.388,0.059,0.445,0.394
HSP82_YEAST_Mishra_2016,0.633,0.589,0.486,0.19,0.543,0.604,0.667,0.616,0.565,0.595,0.605,0.584,0.644,0.637,0.634,0.606,0.512,0.593,0.579,0.504,0.568,0.594,-0.412,0.634,0.55
IF1_ECOLI_Kelsic_2016,0.551,0.358,0.535,0.256,0.489,0.563,0.585,0.559,0.567,0.357,0.503,0.442,0.51,0.438,0.526,0.424,0.457,0.528,0.533,0.213,0.483,0.531,0.054,0.43,0.511
ILF3_HUMAN_Tsuboyama_2023_2L33,0.608,0.603,0.522,0.498,0.564,0.56,0.565,0.61,0.559,0.604,0.591,0.597,0.596,0.61,0.601,0.599,0.632,0.416,0.349,0.404,0.394,0.431,-0.025,0.708,0.599
ISDH_STAAW_Tsuboyama_2023_2LHR,0.753,0.751,0.614,0.602,0.71,0.672,0.595,0.756,0.636,0.757,0.75,0.789,0.751,0.738,0.745,0.589,0.478,0.004,0.282,0.135,0.041,0.043,-0.033,0.601,0.332
KCNE1_HUMAN_Muhammad_2023_expression,0.609,0.609,0.573,0.566,0.565,0.61,0.384,0.61,0.61,0.606,0.605,0.609,0.612,0.608,0.608,0.624,0.465,0.129,0.16,0.057,0.117,0.126,-0.03,0.599,0.595
KCNE1_HUMAN_Muhammad_2023_function,0.687,0.676,0.676,0.659,0.662,0.687,0.667,0.687,0.687,0.674,0.708,0.672,0.691,0.68,0.693,0.631,0.666,0.49,0.469,0.481,0.619,0.633,0.046,0.659,0.692
KCNH2_HUMAN_Kozek_2020,0.509,0.523,0.597,0.604,0.506,0.532,0.327,0.505,0.535,0.524,0.581,0.524,0.612,0.641,0.525,0.58,0.457,0.276,0.194,0.281,0.529,0.498,0.498,0.45,0.502
KKA2_KLEPN_Melnikov_2014,0.741,0.708,0.685,0.637,0.697,0.72,0.716,0.74,0.72,0.708,0.731,0.727,0.731,0.73,0.719,0.663,0.695,0.633,0.612,0.603,0.607,0.642,0.081,0.692,0.616
LYAM1_HUMAN_Elazar_2016,0.536,0.533,0.526,0.536,0.54,0.531,0.488,0.537,0.533,0.533,0.534,0.532,0.53,0.55,0.521,0.565,0.549,0.076,0.384,0.426,0.348,0.311,0.483,0.505,0.542
MAFG_MOUSE_Tsuboyama_2023_1K1V,0.823,0.82,0.801,0.795,0.814,0.792,0.652,0.819,0.791,0.82,0.823,0.791,0.823,0.82,0.826,0.59,0.545,0.247,0.374,0.262,0.471,0.425,0.012,0.558,0.585
MBD11_ARATH_Tsuboyama_2023_6ACV,0.791,0.783,0.658,0.619,0.782,0.748,0.763,0.761,0.719,0.789,0.79,0.804,0.793,0.787,0.784,0.495,0.669,0.473,0.186,0.449,0.395,0.484,0.249,0.735,0.508
MET_HUMAN_Estevam_2023,0.636,0.604,0.608,0.507,0.611,0.627,0.62,0.634,0.625,0.603,0.619,0.615,0.633,0.617,0.617,0.585,0.622,0.57,0.556,0.607,0.567,0.578,0.085,0.597,0.595
MLAC_ECOLI_MacRae_2023,0.629,0.594,0.536,0.472,0.517,0.62,0.58,0.627,0.616,0.594,0.625,0.588,0.624,0.624,0.626,0.526,0.552,0.427,0.399,0.418,0.317,0.399,0.052,0.598,0.503
MTH3_HAEAE_RockahShmuel_2015,0.71,0.697,0.632,0.629,0.681,0.676,0.701,0.706,0.642,0.696,0.722,0.705,0.755,0.735,0.73,0.698,0.7,0.705,0.681,0.67,0.608,0.696,-0.125,0.702,0.603
MYO3_YEAST_Tsuboyama_2023_2BTT,0.803,0.798,0.684,0.641,0.812,0.739,0.651,0.766,0.689,0.801,0.79,0.837,0.792,0.777,0.792,0.623,0.643,0.343,0.449,0.414,0.308,0.364,0.028,0.624,0.448
NKX31_HUMAN_Tsuboyama_2023_2L9R,0.813,0.791,0.815,0.733,0.815,0.821,0.758,0.805,0.813,0.792,0.8,0.786,0.797,0.803,0.788,0.75,0.775,0.575,0.537,0.593,0.589,0.616,0.213,0.797,0.722
NPC1_HUMAN_Erwood_2022_HEK293T,0.79,0.722,0.704,0.443,0.725,0.755,0.794,0.792,0.756,0.722,0.731,0.722,0.763,0.771,0.754,0.419,0.758,0.624,0.321,0.731,0.705,0.726,0.161,0.745,0.727
NPC1_HUMAN_Erwood_2022_RPE1,0.758,0.703,0.474,0.067,0.53,0.736,0.748,0.748,0.736,0.704,0.708,0.705,0.759,0.755,0.803,0.401,0.783,0.597,0.479,0.771,0.808,0.792,0.595,0.734,0.717
NRAM_I33A0_Jiang_2016,0.191,0.442,-0.108,0.046,0.117,-0.018,0.244,0.142,-0.056,0.443,0.5,0.45,0.622,0.585,0.423,0.192,0.675,0.443,0.034,0.612,0.572,0.585,-0.116,0.714,0.625
NUD15_HUMAN_Suiter_2020,0.664,0.616,0.566,0.508,0.647,0.636,0.687,0.659,0.614,0.623,0.697,0.636,0.674,0.687,0.707,0.601,0.697,0.597,0.603,0.673,0.598,0.631,0.108,0.696,0.558
NUSA_ECOLI_Tsuboyama_2023_1WCL,0.881,0.885,0.847,0.854,0.872,0.855,0.772,0.88,0.851,0.886,0.883,0.892,0.884,0.885,0.887,0.795,0.771,0.449,0.294,0.334,0.46,0.515,0.23,0.826,0.734
NUSG_MYCTU_Tsuboyama_2023_2MI6,0.895,0.896,0.855,0.843,0.878,0.872,0.778,0.892,0.874,0.9,0.891,0.908,0.889,0.896,0.89,0.74,0.827,0.518,0.321,0.523,0.512,0.511,0.243,0.854,0.756
OBSCN_HUMAN_Tsuboyama_2023_1V1C,0.831,0.834,0.775,0.75,0.83,0.776,0.723,0.834,0.772,0.838,0.842,0.861,0.841,0.842,0.828,0.7,0.76,0.647,0.594,0.623,0.556,0.64,0.004,0.77,0.611
ODP2_GEOSE_Tsuboyama_2023_1W4G,0.735,0.745,0.699,0.698,0.741,0.727,0.685,0.745,0.706,0.757,0.719,0.784,0.721,0.716,0.72,0.146,0.629,0.352,0.094,0.417,0.376,0.379,-0.117,0.65,0.416
OPSD_HUMAN_Wan_2019,0.739,0.712,0.624,0.482,0.719,0.683,0.733,0.724,0.674,0.714,0.736,0.714,0.736,0.712,0.706,0.588,0.711,0.511,0.508,0.591,0.519,0.475,0.215,0.678,0.587
OTC_HUMAN_Lo_2023,0.8,0.768,0.613,0.555,0.715,0.758,0.771,0.798,0.735,0.769,0.79,0.788,0.803,0.804,0.788,0.685,0.776,0.525,0.577,0.574,0.616,0.603,0.041,0.767,0.657
OTU7A_HUMAN_Tsuboyama_2023_2L2D,0.767,0.766,0.778,0.78,0.766,0.777,0.44,0.768,0.77,0.765,0.759,0.788,0.76,0.768,0.785,0.802,0.41,0.177,0.593,0.217,0.284,0.232,0.05,0.483,0.38
P53_HUMAN_Kotler_2018,0.724,0.66,0.688,0.622,0.709,0.71,0.72,0.719,0.703,0.661,0.676,0.663,0.7,0.686,0.713,0.538,0.618,0.561,0.537,0.577,0.562,0.581,0.235,0.62,0.602
P84126_THETH_Chan_2017,0.756,0.68,0.645,0.543,0.63,0.743,0.74,0.76,0.742,0.68,0.715,0.726,0.743,0.702,0.724,0.594,0.715,0.593,0.516,0.612,0.526,0.557,0.231,0.668,0.503
PA_I34A1_Wu_2015,0.226,0.243,0.117,0.212,0.21,0.172,0.241,0.228,0.174,0.232,0.338,0.231,0.486,0.468,0.413,0.037,0.228,0.508,0.053,0.315,0.575,0.586,0.068,0.256,0.557
PABP_YEAST_Melamed_2013,0.726,0.584,0.716,0.55,0.701,0.738,0.67,0.737,0.751,0.582,0.618,0.588,0.691,0.711,0.717,0.678,0.712,0.551,0.666,0.68,0.653,0.665,0.199,0.672,0.641
PAI1_HUMAN_Huttinger_2021,0.527,0.515,0.481,0.459,0.497,0.5,0.503,0.53,0.501,0.515,0.52,0.516,0.529,0.523,0.515,0.414,0.486,0.395,0.412,0.441,0.415,0.43,0.048,0.538,0.439
PHOT_CHLRE_Chen_2023,0.658,0.603,0.643,0.547,0.663,0.653,0.66,0.663,0.656,0.603,0.632,0.595,0.631,0.622,0.646,0.649,0.654,0.618,0.617,0.596,0.561,0.591,-0.055,0.628,0.606
PIN1_HUMAN_Tsuboyama_2023_1I6C,0.829,0.789,0.8,0.746,0.819,0.807,0.711,0.83,0.808,0.789,0.819,0.804,0.817,0.814,0.808,0.643,0.769,0.631,0.576,0.651,0.69,0.718,0.027,0.776,0.741
PITX2_HUMAN_Tsuboyama_2023_2L7M,0.749,0.686,0.748,0.653,0.75,0.746,0.695,0.779,0.754,0.697,0.701,0.755,0.699,0.692,0.681,0.581,0.706,0.505,0.469,0.547,0.511,0.512,0.017,0.682,0.62
PKN1_HUMAN_Tsuboyama_2023_1URF,0.656,0.668,0.635,0.641,0.655,0.634,0.466,0.641,0.61,0.679,0.667,0.677,0.671,0.671,0.664,0.568,0.622,0.239,0.298,0.221,0.303,0.29,-0.101,0.705,0.567
POLG_HCVJF_Qi_2014,0.504,0.497,0.209,-0.074,0.484,0.308,0.512,0.384,0.206,0.499,0.505,0.519,0.626,0.632,0.577,0.412,0.601,0.362,0.536,0.535,0.467,0.467,0.105,0.516,0.321
POLG_PESV_Tsuboyama_2023_2MXD,0.726,0.727,0.555,0.552,0.713,0.658,0.706,0.681,0.572,0.731,0.748,0.772,0.754,0.74,0.732,0.494,0.672,0.165,0.016,0.433,0.101,0.158,0.068,0.675,0.475
PR40A_HUMAN_Tsuboyama_2023_1UZC,0.745,0.732,0.623,0.568,0.757,0.721,0.726,0.698,0.654,0.737,0.711,0.76,0.708,0.738,0.744,0.507,0.772,0.439,0.23,0.59,0.459,0.507,0.156,0.764,0.53
PSAE_SYNP2_Tsuboyama_2023_1PSE,0.718,0.699,0.696,0.662,0.719,0.709,0.667,0.701,0.697,0.702,0.698,0.722,0.697,0.7,0.697,0.64,0.459,0.323,0.38,0.173,0.218,0.278,0.061,0.533,0.53
PTEN_HUMAN_Matreyek_2021,0.595,0.583,0.502,0.44,0.537,0.583,0.575,0.598,0.583,0.584,0.595,0.587,0.592,0.593,0.588,0.437,0.497,0.372,0.398,0.415,0.401,0.434,-0.073,0.461,0.348
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,0.633,0.619,0.553,0.527,0.545,0.617,0.548,0.622,0.603,0.618,0.628,0.622,0.631,0.621,0.635,0.584,0.567,0.348,0.306,0.32,0.295,0.346,-0.198,0.636,0.58
Q53Z42_HUMAN_McShan_2019_expression,0.659,0.621,0.593,0.528,0.647,0.62,0.651,0.652,0.603,0.621,0.648,0.624,0.668,0.665,0.654,0.541,0.624,0.54,0.465,0.562,0.538,0.566,-0.067,0.567,0.552
Q59976_STRSQ_Romero_2015,0.683,0.667,0.635,0.61,0.672,0.666,0.669,0.684,0.667,0.667,0.69,0.678,0.719,0.716,0.694,0.523,0.663,0.638,0.509,0.652,0.656,0.67,0.036,0.703,0.661
Q6WV13_9MAXI_Somermeyer_2022,0.404,0.404,0.101,0.11,0.365,0.338,0.394,0.323,0.227,0.409,0.449,0.443,0.492,0.492,0.429,0.048,0.511,0.254,0.039,0.362,0.264,0.302,0.0,0.536,0.279
Q837P4_ENTFA_Meier_2023,0.573,0.482,0.613,0.352,0.485,0.582,0.535,0.587,0.586,0.484,0.526,0.496,0.636,0.591,0.591,0.617,0.656,0.531,0.548,0.534,0.534,0.566,0.45,0.594,0.594
Q837P5_ENTFA_Meier_2023,0.627,0.548,0.47,0.341,0.435,0.627,0.6,0.638,0.627,0.549,0.585,0.559,0.627,0.612,0.637,0.332,0.546,0.482,0.343,0.319,0.472,0.467,0.0,0.614,0.59
Q8WTC7_9CNID_Somermeyer_2022,0.519,0.521,0.153,0.153,0.381,0.475,0.517,0.407,0.322,0.522,0.551,0.533,0.541,0.551,0.519,0.229,0.527,0.159,-0.019,0.351,0.297,0.32,0.026,0.462,0.308
