DMS_id,kermutBH_oh,Tranception Embeddings
KCNE1_HUMAN_Muhammad_2023_function,0.085,0.407
KCNH2_HUMAN_Kozek_2020,1222.2,0.911
KKA2_KLEPN_Melnikov_2014,0.695,0.667
LYAM1_HUMAN_Elazar_2016,2.616,0.779
MAFG_MOUSE_Rocklin_2023_1K1V,0.254,0.455
MBD11_ARATH_Rocklin_2023_6ACV,0.631,0.535
MET_HUMAN_Estevam_2023,6.634,0.572
MLAC_ECOLI_MacRae_2023,0.09,0.63
MTH3_HAEAE_RockahShmuel_2015,0.081,0.69
MYO3_YEAST_Rocklin_2023_2BTT,0.778,0.782
NKX31_HUMAN_Rocklin_2023_2L9R,0.127,0.365
NPC1_HUMAN_Erwood_2022_HEK293T,0.129,0.565
NPC1_HUMAN_Erwood_2022_RPE1,0.111,0.573
NRAM_I33A0_Jiang_2016,0.196,0.653
NUD15_HUMAN_Suiter_2020,0.089,0.571
NUSA_ECOLI_Rocklin_2023_1WCL,0.437,0.319
NUSG_MYCTU_Rocklin_2023_2MI6,0.579,0.317
OBSCN_HUMAN_Rocklin_2023_1V1C,0.561,0.457
ODP2_GEOSE_Rocklin_2023_1W4G,0.3,0.78
OTC_HUMAN_Lo_2023,0.103,0.642
OTU7A_HUMAN_Rocklin_2023_2L2D,0.566,0.749
P84126_THETH_Chan_2017,0.243,0.648
PA_I34A1_Wu_2015,0.238,0.873
PAI1_HUMAN_Huttinger_2021,0.993,0.789
PIN1_HUMAN_Rocklin_2023_1I6C,0.354,0.495
PITX2_HUMAN_Rocklin_2023_2L7M,0.504,0.491
PKN1_HUMAN_Rocklin_2023_1URF,0.234,0.393
POLG_PESV_Rocklin_2023_2MXD,0.555,0.515
PR40A_HUMAN_Rocklin_2023_1UZC,0.295,0.521
PSAE_SYNP2_Rocklin_2023_1PSE,0.203,0.56
PTEN_HUMAN_Matreyek_2021,0.073,0.796
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,1.137,0.621
Q53Z42_HUMAN_McShan_2019_expression,2.451,0.687
Q59976_STRSQ_Romero_2015,0.424,0.634
Q837P4_ENTFA_Meier_2023,1.672,0.548
Q837P5_ENTFA_Meier_2023,1.527,0.612
R1AB_SARS2_Flynn_2022,0.108,0.651
RAF1_HUMAN_Zinkus-Boltz_2019,0.041,1.156
RASH_HUMAN_Bandaru_2017,0.074,0.632
RBP1_HUMAN_Rocklin_2023_2KWH,0.18,0.417
RCD1_ARATH_Rocklin_2023_5OAO,0.322,0.565
RCRO_LAMBD_Rocklin_2023_1ORC,1.011,0.472
RD23A_HUMAN_Rocklin_2023_1IFY,0.526,0.363
REV_HV1H2_Fernandes_2016,0.043,0.905
RFAH_ECOLI_Rocklin_2023_2LCL,0.302,0.65
RL20_AQUAE_Rocklin_2023_1GYZ,0.162,0.511
RL40A_YEAST_Mavor_2016,0.031,0.867
RL40A_YEAST_Roscoe_2013,0.088,0.63
RL40A_YEAST_Roscoe_2014,0.114,0.778
RNC_ECOLI_Weeks_2023,0.306,0.462
RPC1_BP434_Rocklin_2023_1R69,0.643,0.375
RPC1_LAMBD_Li_2019_high-expression,4.962,0.735
RPC1_LAMBD_Li_2019_low-expression,1.719,0.836
RS15_GEOSE_Rocklin_2023_1A32,0.136,0.431
SAV1_MOUSE_Rocklin_2023_2YSB,0.437,0.705
SBI_STAAM_Rocklin_2023_2JVG,0.337,0.622
SCIN_STAAR_Rocklin_2023_2QFF,0.621,0.571
SCN5A_HUMAN_Glazer_2019,1417.945,1.566
SDA_BACSU_Rocklin_2023_1PV0,0.4,0.37
SERC_HUMAN_Xie_2023,0.056,0.518
SOX30_HUMAN_Rocklin_2023_7JJK,0.569,0.622
SPA_STAAU_Rocklin_2023_1LP1,0.219,0.47
SPG2_STRSG_Rocklin_2023_5UBS,0.64,0.581
SPIKE_SARS2_Starr_2020_binding,1.106,0.683
SPIKE_SARS2_Starr_2020_expression,0.582,0.676
SPTN1_CHICK_Rocklin_2023_1TUD,1.062,0.511
SQSTM_MOUSE_Rocklin_2023_2RRU,0.202,0.385
SR43C_ARATH_Rocklin_2023_2N88,0.461,0.441
SRBS1_HUMAN_Rocklin_2023_2O2W,0.848,0.526
SRC_HUMAN_Ahler_2019,0.978,0.731
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,0.463,0.825
SRC_HUMAN_Nguyen_2022,0.308,0.814
SUMO1_HUMAN_Weile_2017,0.1,0.893
SYUA_HUMAN_Newberry_2020,0.023,0.405
TADBP_HUMAN_Bolognesi_2019,0.005,0.479
TAT_HV1BR_Fernandes_2016,0.033,0.913
TCRG1_MOUSE_Rocklin_2023_1E0L,0.397,0.337
THO1_YEAST_Rocklin_2023_2WQG,0.476,0.666
TNKS2_HUMAN_Rocklin_2023_5JRT,0.382,0.408
TPK1_HUMAN_Weile_2017,0.257,1.114
TPMT_HUMAN_Matreyek_2018,0.077,0.871
TPOR_HUMAN_Bridgford_2020,0.131,0.714
TRPC_SACS2_Chan_2017,0.29,0.628
TRPC_THEMA_Chan_2017,0.303,0.891
UBC9_HUMAN_Weile_2017,0.198,0.844
UBE4B_HUMAN_Rocklin_2023_3L1X,0.636,0.72
UBE4B_MOUSE_Starita_2013,1.008,0.871
UBR5_HUMAN_Rocklin_2023_1I2T,0.267,0.336
VG08_BPP22_Rocklin_2023_2GP8,0.143,0.455
VILI_CHICK_Rocklin_2023_1YU5,0.3,0.616
VKOR1_HUMAN_Chiasson_2020_abundance,0.075,0.602
VKOR1_HUMAN_Chiasson_2020_activity,0.184,1.041
VRPI_BPT7_Rocklin_2023_2WNM,0.4,0.561
YAIA_ECOLI_Rocklin_2023_2KVT,1.145,0.666
YNZC_BACSU_Rocklin_2023_2JVD,0.346,0.699
