DMS_id,kermutBH_oh,Tranception Embeddings
REV_HV1H2_Fernandes_2016,0.028,0.657
RFAH_ECOLI_Rocklin_2023_2LCL,0.19,0.321
RL20_AQUAE_Rocklin_2023_1GYZ,0.15,0.152
RL40A_YEAST_Mavor_2016,0.02,0.537
RL40A_YEAST_Roscoe_2013,0.054,0.349
RL40A_YEAST_Roscoe_2014,0.075,0.322
RNC_ECOLI_Weeks_2023,0.151,0.292
RPC1_BP434_Rocklin_2023_1R69,0.398,0.152
RPC1_LAMBD_Li_2019_high-expression,3.879,0.551
RPC1_LAMBD_Li_2019_low-expression,1.001,0.614
RS15_GEOSE_Rocklin_2023_1A32,0.099,0.133
SAV1_MOUSE_Rocklin_2023_2YSB,0.246,0.217
SBI_STAAM_Rocklin_2023_2JVG,0.199,0.316
SCIN_STAAR_Rocklin_2023_2QFF,0.215,0.249
SCN5A_HUMAN_Glazer_2019,1342.508,1.596
SDA_BACSU_Rocklin_2023_1PV0,0.229,0.11
SERC_HUMAN_Xie_2023,0.041,0.447
SOX30_HUMAN_Rocklin_2023_7JJK,0.411,0.201
SPA_STAAU_Rocklin_2023_1LP1,0.143,0.214
SPG2_STRSG_Rocklin_2023_5UBS,0.393,0.191
SPIKE_SARS2_Starr_2020_binding,0.589,0.277
SPIKE_SARS2_Starr_2020_expression,0.24,0.272
SPTN1_CHICK_Rocklin_2023_1TUD,0.772,0.221
SQSTM_MOUSE_Rocklin_2023_2RRU,0.163,0.18
SR43C_ARATH_Rocklin_2023_2N88,0.265,0.162
SRBS1_HUMAN_Rocklin_2023_2O2W,0.487,0.163
SRC_HUMAN_Ahler_2019,0.42,0.43
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,0.294,0.558
SRC_HUMAN_Nguyen_2022,0.188,0.599
SUMO1_HUMAN_Weile_2017,0.082,0.695
SYUA_HUMAN_Newberry_2020,0.01,0.21
TADBP_HUMAN_Bolognesi_2019,0.005,0.266
TAT_HV1BR_Fernandes_2016,0.024,0.64
TCRG1_MOUSE_Rocklin_2023_1E0L,0.244,0.15
THO1_YEAST_Rocklin_2023_2WQG,0.28,0.285
TNKS2_HUMAN_Rocklin_2023_5JRT,0.255,0.144
TPK1_HUMAN_Weile_2017,0.235,0.998
TPMT_HUMAN_Matreyek_2018,0.071,0.558
TPOR_HUMAN_Bridgford_2020,0.095,0.433
TRPC_SACS2_Chan_2017,0.175,0.383
TRPC_THEMA_Chan_2017,0.24,0.454
UBC9_HUMAN_Weile_2017,0.164,0.606
UBE4B_HUMAN_Rocklin_2023_3L1X,0.403,0.263
UBE4B_MOUSE_Starita_2013,1.029,0.788
UBR5_HUMAN_Rocklin_2023_1I2T,0.243,0.163
VG08_BPP22_Rocklin_2023_2GP8,0.127,0.213
VILI_CHICK_Rocklin_2023_1YU5,0.244,0.23
VKOR1_HUMAN_Chiasson_2020_abundance,0.06,0.304
VKOR1_HUMAN_Chiasson_2020_activity,0.164,1.04
VRPI_BPT7_Rocklin_2023_2WNM,0.299,0.211
YAIA_ECOLI_Rocklin_2023_2KVT,0.591,0.278
YNZC_BACSU_Rocklin_2023_2JVD,0.253,0.2
